0.001000	0.330373	0.330288	0.339339
0.001585	0.332849	0.331207	0.335944
0.002512	0.334311	0.332165	0.333524
0.003981	0.346286	0.329053	0.324661
0.006310	0.337483	0.334409	0.328108
0.010000	0.346496	0.343490	0.310014
0.015849	0.351471	0.354711	0.293818
0.025119	0.356913	0.356697	0.286390
0.039811	0.379930	0.375494	0.244577
0.063096	0.398704	0.390109	0.211187
0.100000	0.411697	0.416262	0.172040
0.158489	0.423702	0.445258	0.131040
0.251189	0.433150	0.464984	0.101866
0.398107	0.469690	0.454828	0.075482
0.630957	0.432939	0.497192	0.069869
1.000000	0.424759	0.513808	0.061432
1.584893	0.367410	0.568647	0.063944
2.511886	0.328422	0.599024	0.072554
3.981072	0.241666	0.641992	0.116342
6.309573	0.123408	0.655366	0.221227
10.000000	0.031764	0.509602	0.458634
